Title,Company,Location,Type of Positions,Salary,Identified_Skills
"Director, Data Science - Operational Research",Best Buy,GA,Full-time,148250,"['machine learning', 'deep learning']"
Campus Graduate 2024 - Credit & Fraud Risk Decision Science Manager Full Time,Amex,NY,Full-time,80000,"['python', 'machine learning', 'sql']"
Data Science Analyst,The American College of Radiology,VA,Full-time,85500,"['python', 'machine learning', 'tableau', 'aws', 'sql']"
Data Scientist,Booz Allen Hamilton,VA,Full-time,93300,"['python', 'machine learning']"
"Sr. Data Scientist, Patient Engagement and Personalization",CVS Health,RI,Full-time,94500,"['python', 'machine learning', 'aws', 'azure', 'gcp', 'sql', 'pyspark']"
AI & Data Solutions Architect,Sterling Check,Remote,Full-time,130000,"['tensorflow', 'python', 'deep learning', 'aws', 'azure']"
Data Scientist,Leidos,VA,Full-time,63050,"['python', 'tableau', 'postgresql', 'sql']"
Machine Learning Engineer,Ladder,CA,Full-time,121125,"['machine learning', 'tableau', 'aws', 'docker', 'kafka']"
Machine Learning Engineer II - Java Development,Warner Bros. Discovery,CA,Full-time,119700,"['python', 'machine learning', 'aws', 'azure', 'gcp', 'sql']"
AI/ML Packaging Engineer,Booz Allen Hamilton,VA,Full-time,73100,"['python', 'machine learning', 'docker']"
Associate Machine Learning Platform Field Engineer,CVS Health,TX,Full-time,60000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'aws', 'docker', 'gcp', 'airflow']"
Principal Applied Scientist,Microsoft,WA,Full-time,133600,"['machine learning', 'etl']"
"Principal Product Manager- Insights, Data Engineering & Analytics (IDEAs)",Microsoft,WA,Full-time,158500,['machine learning']
Senior System Software Engineer - Automotive AI Applications,NVIDIA,CA,Full-time,144000,"['python', 'git']"
"CIR Statistician, Bureau of Immunization Statistician",NYC Careers,NY,Full-time,92301,"['tableau', 'sql']"
"Data Scientist 2 - Price Optimization - Hybrid - Seattle, WA, Los Angeles, CA, Denver, CO, or Chicago, IL",Nordstrom Inc,CA,Full-time,114000,"['python', 'machine learning', 'sql']"
Machine Learning Researcher,Booz Allen Hamilton,MD,Full-time,73100,"['tensorflow', 'pytorch', 'python', 'numpy', 'machine learning', 'deep learning', 'aws', 'azure', 'gcp']"
Sr. Healthcare Data Analyst - Professional Services Data Integration,MedeAnalytics,TX,Full-time,125000,"['python', 'aws', 'etl', 'sql', 'git', 'hadoop', 'apache spark']"
Machine Learning Research Scientist (Fully Cleared),Peraton,MD,Full-time,146000,"['tensorflow', 'pytorch', 'python', 'machine learning']"
"AVP, Mortgage Portfolio Analytics - 100% Remote",Radian,CO,Full-time,105120,"['python', 'sql']"
Sr SDoH and Population Insights Data Analyst - Remote,UnitedHealthcare,MN,Full-time,85000,"['tableau', 'azure', 'sql']"
"AVP, Mortgage Portfolio Analytics - 100% Remote",Radian,CO,Full-time,105120,"['python', 'sql']"
Sr SDoH and Population Insights Data Analyst - Remote,UnitedHealthcare,MN,Full-time,85000,"['tableau', 'azure', 'sql']"
Statistician (Data Scientist),US Patent and Trademark Office,VA,Full-time,112015,"['python', 'sql']"
Machine Learning Engineer,Ladder,CA,Full-time,121125,"['machine learning', 'tableau', 'aws', 'docker', 'kafka']"
Machine Learning Engineer II - Java Development,Warner Bros. Discovery,CA,Full-time,119700,"['python', 'machine learning', 'aws', 'azure', 'gcp', 'sql']"
AI/ML Packaging Engineer,Booz Allen Hamilton,VA,Full-time,73100,"['python', 'machine learning', 'docker']"
"Data Scientist, Responsibility & Privacy",Meta,CA,Full-time,197000,"['python', 'machine learning', 'sql']"
"Associate Director, Solid Tumor, Oncology Data Science (JRD)",Johnson & Johnson,NJ,Full-time,135000,['machine learning']
AI Architect,HP,CO,Full-time,137000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'deep learning', 'aws', 'azure', 'gcp']"
Data Scientist - Lead,California State University,CA,Full-time,57468,"['machine learning', 'tableau']"
AI Integration Engineer,Booz Allen Hamilton,VA,Full-time,73100,"['python', 'docker']"
Senior Decision Scientist - Network Configuration Product,CVS Health,NY,Full-time,103500,"['python', 'sql']"
"Senior Director, Data Science",Confluent,US,Full-time,251550,"['python', 'machine learning', 'tableau', 'sql', 'airflow', 'kafka']"
Director of Data Science,National Funding,CA,Full-time,130000,"['python', 'machine learning', 'deep learning', 'sql']"
Senior Machine Learning Engineer,IBR (Imagine Believe Realize),Remote,Full-time,155000,"['tensorflow', 'python', 'machine learning', 'aws', 'etl', 'sql', 'kafka']"
Machine Learning Engineer,Dezign Concepts LLC,VA,Full-time,225000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'deep learning', 'tableau', 'etl', 'sql']"
AI/ML Lead Engineer,NEXT GEN IT INC,Remote,Full-time,130000,['machine learning']
Machine Learning Engineer,Kudu Dynamics,CO,Full-time,145000,"['python', 'machine learning']"
Data Scientist,National Security Agency,MD,Full-time,81233,['machine learning']
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,TX,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,NJ,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,MA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,TX,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,TX,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,KS,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,MI,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,NY,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,NY,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,NH,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CT,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,NC,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Data Scientist,US HQDA Field Operating Agencies and Staff Support...,VA,Full-time,112015,"['python', 'machine learning', 'aws', 'azure']"
Senior Data Scientist,Houzz,Remote,Full-time,150000,"['machine learning', 'hadoop']"
Data Scientist I,Trusaic,CA,Full-time,70000,['git']
Global Leadership Development Program Associate – Data Engineering/Analytics Track,Advanced Sterilization Products,CA,Full-time,56465,['machine learning']
Staff Data Scientist - Performance,Afresh,Remote,Full-time,186300,"['python', 'pandas', 'machine learning', 'tableau', 'sql']"
"Data Engineer II, Machine Learning Ops - Bond & Specialty Insurance","The Travelers Companies, Inc.",CT,Full-time,121000,['machine learning']
Applied Scientist,ENCHANNEL MEDICAL LTD,CA,Full-time,120000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'deep learning']"
Principal Data Scientist,Second Dinner,Remote,Full-time,190000,"['python', 'machine learning', 'tableau', 'aws', 'etl', 'sql', 'apache spark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CO,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CO,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,HI,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,NM,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,OH,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,OH,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Data Analyst (Hybrid) - Secret Clearance,Marathon TS,AL,Full-time,100000,"['python', 'sql']"
Senior Data Analyst (Data Lead),Blue Star Partners LLC,OH,Full-time,74800,"['azure', 'etl']"
Machine Learning Engineer,"Optimoz, Inc",MD,Full-time,90000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'deep learning', 'aws', 'azure', 'gcp']"
Sr. Data Scientist for Signal Analysis Program,DeNOVO Solutions,CO,Full-time,175000,"['tensorflow', 'python', 'pandas', 'machine learning', 'azure', 'hadoop']"
(No C2C) Sr Data Engineer with Machine Learning,Kairos Technologies Inc,Remote,Full-time,140000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'aws', 'etl', 'sql', 'kafka']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,NC,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,TX,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,TX,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CO,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,HI,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,NM,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,NC,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,MO,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,TX,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,TX,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CO,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CO,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,HI,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,NM,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Data Analyst,ReadyRefresh,CT,Full-time,100893,"['python', 'azure', 'sql']"
Data Engineer,IBM,DC,Full-time,78000,"['python', 'machine learning', 'azure', 'nosql', 'etl', 'sql', 'hadoop']"
Lead Data Science Engineer,Medidata Solutions,NY,Full-time,135000,"['python', 'aws', 'etl', 'sql', 'git']"
Principal Data Scientist,Remitly,WA,Full-time,168000,"['python', 'machine learning', 'sql']"
"AI and Machine Learning Algorithms Architect / Researcher (Santa Clara, CA)",Tachyum,CA,Full-time,130000,"['machine learning', 'deep learning']"
Lead Data Scientist - Property & Casualty Insurance Pricing,QBE,WI,Full-time,118000,"['python', 'machine learning', 'tableau', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,MA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,NC,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,TX,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,TX,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CO,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,HI,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,AZ,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,OH,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,PA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,AZ,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,PA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,NC,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,CA,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
Senior Staff AI Data Engineer,Recruiting From Scratch,MO,Full-time,160000,"['python', 'pandas', 'machine learning', 'aws', 'azure', 'docker', 'gcp', 'nosql', 'etl', 'sql', 'airflow', 'git', 'kafka', 'pyspark']"
