Title,Company,Location,Type of Positions,Salary,Identified_Skills
"Lead Data Analyst/Senior Data Analyst, Tiktok Ads - USDS",TikTok,NY,Full-time,123626,"['python', 'tableau', 'sql', 'hadoop']"
Applied Scientist,TikTok,NY,Full-time,144000,"['tensorflow', 'pytorch', 'python', 'machine learning']"
Lead Data Scientist,Opinion Dynamics Corporation,MA,Full-time,135000,"['python', 'machine learning', 'git']"
"Software Engineer, Machine Learning",Packback Inc,Remote,Full-time,85000,"['python', 'machine learning', 'sql']"
Senior Data Analyst,Remitly,WA,Full-time,120000,"['python', 'sql']"
Principal Data Scientist,Microsoft,WA,Full-time,133600,"['python', 'machine learning', 'aws', 'azure', 'gcp', 'etl']"
Technology Enabled Analyst,Booz Allen Hamilton,DC,Full-time,58400,"['python', 'machine learning', 'sql']"
Senior Data Analyst - People Analytics - Workday Reporting,kraken,Remote,Full-time,79000,"['python', 'tableau']"
Health Data Scientist,Booz Allen Hamilton,MD,Full-time,58400,"['python', 'machine learning', 'deep learning', 'aws', 'azure', 'gcp', 'mysql', 'nosql', 'sql', 'kafka', 'hadoop']"
Senior Data Scientist - 2199648,Optum,MN,Full-time,101400,"['python', 'machine learning', 'sql', 'hadoop']"
Data Scientist Consultant (Remote),DataKind,NY,Full-time,150000,"['python', 'machine learning', 'deep learning', 'aws', 'sql']"
Senior Data Scientist,Pluto TV,NY,Full-time,124000,"['python', 'machine learning', 'aws', 'gcp', 'sql']"
Astrophysicist (Artificial Intelligence),US Smithsonian Institution,MA,Full-time,130929,['machine learning']
Mid-Level Data Scientist,BOEING,WA,Full-time,113900,"['tensorflow', 'pytorch', 'python', 'pandas', 'machine learning', 'deep learning', 'aws', 'azure', 'sql']"
Applied Scientist,TikTok,NY,Full-time,144000,"['tensorflow', 'pytorch', 'python', 'machine learning']"
Lead Data Scientist,Opinion Dynamics Corporation,MA,Full-time,135000,"['python', 'machine learning', 'git']"
Behavioral Health Data Scientist (Human Services Data Scientist),King County,WA,Full-time,106309,"['python', 'tableau', 'sql', 'git']"
"Lead Data Analyst/Senior Data Analyst, Tiktok Ads - USDS",TikTok,NY,Full-time,123626,"['python', 'tableau', 'sql', 'hadoop']"
Senior Data Analyst,Remitly,WA,Full-time,120000,"['python', 'sql']"
DIRECTOR OF ARTIFICIAL INTELLIGENCE ENABLEMENT,Intero Digital,Remote,Full-time,100000,['machine learning']
Data Analyst Mid to Senior,Progressive,OH,Full-time,56300,"['tableau', 'sql']"
Machine Learning Engineer (Entry Level),"SRC, Inc.",NY,Full-time,69000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'deep learning']"
Data Science Director,Jellyfish,NY,Full-time,190000,"['python', 'tableau', 'gcp', 'sql']"
"Mathematician I (HYBRID) Chicago, IL",Everi,IL,Full-time,70000,['sql']
Senior Applied Scientist,Microsoft,WA,Full-time,112000,"['machine learning', 'azure']"
Operation Research Analyst (Senior Financial Data Scientist),"US Treasury, Departmental Offices",VA,Full-time,149739,['python']
Machine Learning Engineer,Booz Allen Hamilton,VA,Full-time,73100,"['python', 'machine learning', 'deep learning', 'aws', 'azure', 'docker', 'gcp', 'sql']"
Machine Learning Engineer (Entry Level),"SRC, Inc",NY,Full-time,69000,"['tensorflow', 'pytorch', 'python', 'machine learning', 'deep learning']"
"Machine Learning Engineer, Senior",Booz Allen Hamilton,DC,Full-time,93300,"['python', 'machine learning', 'aws', 'azure', 'gcp', 'sql']"
"Principal Performance Engineer, AI Applications",NVIDIA,CA,Full-time,268000,['deep learning']
Senior Machine Learning Engineer,Forrester,MA,Full-time,150000,"['python', 'machine learning', 'sql', 'kafka']"
Data Scientist,Lendistry,CA,Full-time,80000,"['python', 'machine learning', 'sql']"
Data Scientist,US Department of Veterans Affairs,DC,Full-time,78592,['machine learning']
Data Scientist,INFICON,NY,Full-time,110000,"['tensorflow', 'pytorch', 'python', 'machine learning']"
Research Statistician,UC San Diego Health,CA,Full-time,68235,['machine learning']
"Sr Director, Statistical Programming",Olema Oncology,MA,Full-time,223000,['gcp']
Python Data Scientist,Synovize,Remote,Full-time,140000,"['tensorflow', 'pytorch', 'python', 'numpy', 'pandas', 'machine learning', 'deep learning', 'sql']"
Data Scientist,Lendistry,CA,Full-time,80000,"['python', 'machine learning', 'sql']"
Data Scientist,Hireups,Remote,Full-time,140000,"['python', 'machine learning']"
Data Scientist,US Department of Veterans Affairs,DC,Full-time,78592,['machine learning']
Data Scientist,INFICON,NY,Full-time,110000,"['tensorflow', 'pytorch', 'python', 'machine learning']"
Lead Data Scientist,Opinion Dynamics,Remote,Full-time,135000,"['python', 'machine learning', 'git']"
Artificial Intelligence Engineer(15+ years),Tech Matrix Software Solutions Pvt. Ltd,Remote,Full-time,150000,['python']
AI Engineering Manager,Agilon Health,Remote,Full-time,160000,"['python', 'machine learning', 'deep learning', 'aws', 'sql']"
Data Management - Big Data/Machine Learning Engineer - Sr Big Data/Machine Learning Engineer - Sr,eTeam Inc.,VA,Full-time,140000,"['python', 'aws', 'airflow']"
Natural Language Processing (NLP) Researcher,Kitware,NC,Full-time,125000,['machine learning']
Principal Machine Learning Engineer - Motion Planning,Motional,Remote,Full-time,199000,"['pytorch', 'machine learning', 'deep learning']"
"Sr. Director, Statistical Programming",Olema Oncology,CA,Full-time,223000,['gcp']
Senior Spatial Data Scientist (Active TS/SCI required),"Xcellent Technology Solutions, Inc.",VA,Full-time,120000,"['python', 'machine learning', 'tableau', 'postgresql', 'sql']"
Critical Infrastructure and Data Analytics Scientist (Scientist 3),Los Alamos National Laboratory,NM,Full-time,119200,"['python', 'machine learning', 'sql']"
Lead Data Scientist - Remote,Symetra Financial,Remote,Full-time,107200,"['python', 'tableau', 'sql']"
Postdoctoral Scientist - Tatonetti Lab - Data-Driven Precision Pharmacology,CEDARS-SINAI,CA,Full-time,64500,['machine learning']
Senior Data Analyst,General Dynamics Information Technology,Remote,Full-time,76000,['sql']
"Senior, Data Scientist, People.AI",Walmart,AR,Full-time,90000,"['tensorflow', 'pytorch', 'python', 'machine learning']"
Experienced Data Scientist,Principal Financial Group,IA,Full-time,106400,"['tensorflow', 'pytorch', 'python', 'machine learning', 'aws', 'azure']"
Data Scientist II,RTL Networks,CA,Full-time,105000,"['python', 'numpy', 'pandas', 'machine learning', 'nosql', 'etl', 'sql', 'hadoop']"
Sr. Data Analyst,Madison Logic,Remote,Full-time,105000,"['python', 'aws', 'mysql', 'sql']"
Interdisciplinary Computer Scientist/Computer Engineer/Data Scientist,US Office of the Secretary of Defense,VA,Full-time,132368,['machine learning']
